user_name,user_url,comment
无语看潮生,http://p3.music.126.net/D-1AI-yHV0E1OjOerVq5aw==/109951169137158503.jpg,一百年过后  网易云还在  我们的后辈听着和我们一样的歌，看的却都是死人的评论   啧啧  想想还有点小兴奋呢
无语看潮生,http://p3.music.126.net/D-1AI-yHV0E1OjOerVq5aw==/109951169137158503.jpg,一百年过后  网易云还在  我们的后辈听着和我们一样的歌，看的却都是死人的评论   啧啧  想想还有点小兴奋呢
ZzHpf,http://p4.music.126.net/8bxIUDBR02Lt8SUQmkfoBw==/109951168209497283.jpg,今天一出门，好冷，下意识掏出手机想叫你多穿点，才反应过来，没有身份了。
ZzHpf,http://p4.music.126.net/8bxIUDBR02Lt8SUQmkfoBw==/109951168209497283.jpg,今天一出门，好冷，下意识掏出手机想叫你多穿点，才反应过来，没有身份了。
ZzHpf,http://p4.music.126.net/8bxIUDBR02Lt8SUQmkfoBw==/109951168209497283.jpg,“后来终于明白了一个道理，合适的人，不是你拼命追赶的人，而是当你累的时候，拉着你跟你一起走的人”
ZzHpf,http://p4.music.126.net/8bxIUDBR02Lt8SUQmkfoBw==/109951168209497283.jpg,“后来终于明白了一个道理，合适的人，不是你拼命追赶的人，而是当你累的时候，拉着你跟你一起走的人”
ZzHpf,http://p4.music.126.net/8bxIUDBR02Lt8SUQmkfoBw==/109951168209497283.jpg,“人的手就这么大， 握不住的东西太多”
ZzHpf,http://p4.music.126.net/8bxIUDBR02Lt8SUQmkfoBw==/109951168209497283.jpg,“人的手就这么大， 握不住的东西太多”
宇宙飞飞鱼,http://p4.music.126.net/llU1Ncu8YIOMtLyLM9Pg4A==/109951169146416869.jpg,啊啊啊你们听到了吗结尾间奏和小爱联动了啊啊！！姊妹篇就是最好哭的！呜呜呜小爱一出来真的忍不住…同样是治愈人心的歌，小爱被当做树洞，小回来更像把心赤裸裸的拿给你看，但我不知道这背后他要怎么撕开自己，要用多大的能量去创作去演唱。希望他在治愈别人的时候，也能慢慢治愈自己
宇宙飞飞鱼,http://p4.music.126.net/llU1Ncu8YIOMtLyLM9Pg4A==/109951169146416869.jpg,啊啊啊你们听到了吗结尾间奏和小爱联动了啊啊！！姊妹篇就是最好哭的！呜呜呜小爱一出来真的忍不住…同样是治愈人心的歌，小爱被当做树洞，小回来更像把心赤裸裸的拿给你看，但我不知道这背后他要怎么撕开自己，要用多大的能量去创作去演唱。希望他在治愈别人的时候，也能慢慢治愈自己
